date,tempHigh,tempAvg,tempLow,dewHigh,dewAvg,dewLow,humHigh,humAvg,humLow,windHigh,windAvg,windGust,presHigh,presAvg,presLow,rain
29,33.6 °C,29 °C,24.5 °C,26.7 °C,24.9 °C,23.3 °C,97%,83%,62%,11 kph,2 kph,19 kph,1010 hPa,1009 hPa,1007 hPa,5.6 mm
30,33.6 °C,29.3 °C,25.1 °C,26.7 °C,25.2 °C,23.9 °C,95%,85%,63%,10 kph,3 kph,19 kph,1010 hPa,1009 hPa,1007 hPa,18.8 mm
31,32.8 °C,28.6 °C,24.3 °C,26.7 °C,24.4 °C,22.8 °C,96%,89%,66%,8 kph,2 kph,21 kph,1011 hPa,1009 hPa,1008 hPa,2.8 mm
2016,Temperature,,,Dew Point,,,Humidity,,,Speed,,,Pressure,,,Precip. Accum.
Jun,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,32.4 °C,28.2 °C,23.9 °C,26.1 °C,24.7 °C,23.3 °C,97%,85%,66%,8 kph,2 kph,19 kph,1011 hPa,1009 hPa,1006 hPa,0 mm
2,34.5 °C,29.7 °C,24.8 °C,26.7 °C,24.7 °C,23.9 °C,96%,87%,64%,11 kph,3 kph,23 kph,1010 hPa,1008 hPa,1005 hPa,17.8 mm
3,34.3 °C,29.6 °C,24.9 °C,26.1 °C,24.8 °C,23.9 °C,96%,79%,57%,10 kph,4 kph,19 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
4,35.5 °C,30.4 °C,25.2 °C,26.1 °C,24.7 °C,22.2 °C,96%,79%,52%,10 kph,3 kph,23 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
5,34.6 °C,29.5 °C,24.5 °C,26.7 °C,24.4 °C,22.8 °C,96%,87%,58%,10 kph,2 kph,21 kph,1011 hPa,1009 hPa,1008 hPa,8.1 mm
6,32.7 °C,28.6 °C,24.4 °C,26.7 °C,24.7 °C,22.8 °C,97%,90%,68%,10 kph,2 kph,29 kph,1012 hPa,1010 hPa,1007 hPa,27.9 mm
7,33.3 °C,28.8 °C,24.3 °C,25.6 °C,24.3 °C,23.3 °C,95%,80%,62%,8 kph,4 kph,19 kph,1011 hPa,1009 hPa,1007 hPa,0 mm
8,33.1 °C,28.9 °C,24.8 °C,25.6 °C,24.4 °C,23.3 °C,94%,79%,63%,11 kph,4 kph,23 kph,1010 hPa,1008 hPa,1006 hPa,0 mm
